URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/access-check-eligibility-in,StructureDefinition/access-submission-status-out,StructureDefinition/access-data-reporting-composition,StructureDefinition/access-align-in,StructureDefinition/access-unalign-in,StructureDefinition/access-report-data-in,StructureDefinition/access-report-data-out,StructureDefinition/access-unalign-out,StructureDefinition/access-data-reporting-bundle,StructureDefinition/access-condition,StructureDefinition/access-align-out,StructureDefinition/access-check-eligibility-out","hl7.terminology.r4"
http://loinc.org/vs/LL358-3,null,active,,LOINCAnswersLL358-3,LOINC Answer Codes for LL358-3,"","Questionnaire/PHQ9QuestionnaireExample","LOINC"
http://loinc.org/vs/LL358-3,null,active,,LOINCAnswersLL358-3,LOINC Answer Codes for LL358-3,"","Questionnaire/PHQ9QuestionnaireExample","LOINC"
http://loinc.org/vs/LL358-3,null,active,,LOINCAnswersLL358-3,LOINC Answer Codes for LL358-3,"","Questionnaire/PHQ9QuestionnaireExample","LOINC"
http://loinc.org/vs/LL358-3,null,active,,LOINCAnswersLL358-3,LOINC Answer Codes for LL358-3,"","Questionnaire/PHQ9QuestionnaireExample","LOINC"
http://loinc.org/vs/LL358-3,null,active,,LOINCAnswersLL358-3,LOINC Answer Codes for LL358-3,"","Questionnaire/PHQ9QuestionnaireExample","LOINC"
http://loinc.org/vs/LL359-1,null,active,,LOINCAnswersLL359-1,LOINC Answer Codes for LL359-1,"","Questionnaire/PHQ9QuestionnaireExample","LOINC"
http://loinc.org/vs/LL3898-5,null,active,,LOINCAnswersLL3898-5,LOINC Answer Codes for LL3898-5,"","Questionnaire/NeckDisabilityIndexQuestionnaireExample","LOINC"
http://loinc.org/vs/LL3899-3,null,active,,LOINCAnswersLL3899-3,LOINC Answer Codes for LL3899-3,"","Questionnaire/NeckDisabilityIndexQuestionnaireExample","LOINC"
http://loinc.org/vs/LL3900-9,null,active,,LOINCAnswersLL3900-9,LOINC Answer Codes for LL3900-9,"","Questionnaire/NeckDisabilityIndexQuestionnaireExample","LOINC"
http://loinc.org/vs/LL3901-7,null,active,,LOINCAnswersLL3901-7,LOINC Answer Codes for LL3901-7,"","Questionnaire/NeckDisabilityIndexQuestionnaireExample","LOINC"
http://loinc.org/vs/LL3902-5,null,active,,LOINCAnswersLL3902-5,LOINC Answer Codes for LL3902-5,"","Questionnaire/NeckDisabilityIndexQuestionnaireExample","LOINC"
http://loinc.org/vs/LL3903-3,null,active,,LOINCAnswersLL3903-3,LOINC Answer Codes for LL3903-3,"","Questionnaire/NeckDisabilityIndexQuestionnaireExample","LOINC"
http://loinc.org/vs/LL3904-1,null,active,,LOINCAnswersLL3904-1,LOINC Answer Codes for LL3904-1,"","Questionnaire/NeckDisabilityIndexQuestionnaireExample","LOINC"
http://loinc.org/vs/LL3905-8,null,active,,LOINCAnswersLL3905-8,LOINC Answer Codes for LL3905-8,"","Questionnaire/NeckDisabilityIndexQuestionnaireExample","LOINC"
http://loinc.org/vs/LL3906-6,null,active,,LOINCAnswersLL3906-6,LOINC Answer Codes for LL3906-6,"","Questionnaire/NeckDisabilityIndexQuestionnaireExample","LOINC"
http://loinc.org/vs/LL3907-4,null,active,,LOINCAnswersLL3907-4,LOINC Answer Codes for LL3907-4,"","Questionnaire/NeckDisabilityIndexQuestionnaireExample","LOINC"
http://loinc.org/vs/LL4051-0,null,active,,LOINCAnswersLL4051-0,LOINC Answer Codes for LL4051-0,"","Questionnaire/HOOSJRQuestionnaireExample","LOINC"
http://loinc.org/vs/LL4051-0,null,active,,LOINCAnswersLL4051-0,LOINC Answer Codes for LL4051-0,"","Questionnaire/HOOSJRQuestionnaireExample","LOINC"
http://loinc.org/vs/LL4051-0,null,active,,LOINCAnswersLL4051-0,LOINC Answer Codes for LL4051-0,"","Questionnaire/HOOSJRQuestionnaireExample","LOINC"
http://loinc.org/vs/LL4051-0,null,active,,LOINCAnswersLL4051-0,LOINC Answer Codes for LL4051-0,"","Questionnaire/HOOSJRQuestionnaireExample","LOINC"
http://loinc.org/vs/LL4051-0,null,active,,LOINCAnswersLL4051-0,LOINC Answer Codes for LL4051-0,"","Questionnaire/HOOSJRQuestionnaireExample","LOINC"
http://loinc.org/vs/LL4051-0,null,active,,LOINCAnswersLL4051-0,LOINC Answer Codes for LL4051-0,"","Questionnaire/HOOSJRQuestionnaireExample","LOINC"
http://loinc.org/vs/LL4051-0,null,active,,LOINCAnswersLL4051-0,LOINC Answer Codes for LL4051-0,"","Questionnaire/KOOSJRQuestionnaireExample","LOINC"
http://loinc.org/vs/LL4051-0,null,active,,LOINCAnswersLL4051-0,LOINC Answer Codes for LL4051-0,"","Questionnaire/KOOSJRQuestionnaireExample","LOINC"
http://loinc.org/vs/LL4051-0,null,active,,LOINCAnswersLL4051-0,LOINC Answer Codes for LL4051-0,"","Questionnaire/KOOSJRQuestionnaireExample","LOINC"
http://loinc.org/vs/LL4051-0,null,active,,LOINCAnswersLL4051-0,LOINC Answer Codes for LL4051-0,"","Questionnaire/KOOSJRQuestionnaireExample","LOINC"
