URL,Version,Status,OIDs,Name,Title,Description,Used
https://dsacms.github.io/cmmi-access-model/CodeSystem/ACCESSAlignmentResultCS,0.9.11,draft,,ACCESSAlignmentResultCS,ACCESS Alignment Request Result Codes,"This codesystem defines codes indicating the result of a requested alignment.",
https://dsacms.github.io/cmmi-access-model/CodeSystem/ACCESSEligibilityResultCS,0.9.11,draft,,ACCESSEligibilityResultCS,ACCESS Eligibility Result Codes,"This codesystem defines codes indicating the result of an eligibility check.",
https://dsacms.github.io/cmmi-access-model/CodeSystem/ACCESSEventTypeCS,0.9.11,draft,,ACCESSEventTypeCS,ACCESS Event Types,"This codesystem defines codes for the types of events that trigger subscription notifications in the ACCESS Model.",
https://dsacms.github.io/cmmi-access-model/CodeSystem/ACCESSReportDataCompositionSectionCS,0.9.11,draft,,ACCESSReportDataCompositionSectionCS,ACCESS Report Data Composition Section Codes,"This codesystem defines additional codes for composition sections used in ACCESS Model data reporting when LOINC codes are not available.",
https://dsacms.github.io/cmmi-access-model/CodeSystem/ACCESSReportDataResultCS,0.9.11,draft,,ACCESSReportDataResultCS,ACCESS Report Data Result Codes,"This codesystem defines the codes indicating the result of a data reporting submission.",
https://dsacms.github.io/cmmi-access-model/CodeSystem/ACCESSReportTypeCS,0.9.11,draft,,ACCESSReportTypeCS,ACCESS Report Type Codes,"This codesystem defines the codes indicating the type of the data report submission.",
https://dsacms.github.io/cmmi-access-model/CodeSystem/ACCESSTrackCS,0.9.11,draft,,ACCESSTrackCS,ACCESS Model Tracks,"This codesystem defines codes for each of the ACCESS Model tracks.",
https://dsacms.github.io/cmmi-access-model/CodeSystem/ACCESSUnalignmentReasonCS,0.9.11,draft,,ACCESSUnalignmentReasonCS,ACCESS Unalignment Reason Codes,"This codesystem defines the codes indicating the reason for the requested unalignment.",
https://dsacms.github.io/cmmi-access-model/CodeSystem/ACCESSUnalignmentResultCS,0.9.11,draft,,ACCESSUnalignmentResultCS,ACCESS Unalignment Request Result Codes,"This codesystem defines the codes indicating the result of a requested unalignment.",
